CategoryGER,Keyword,KeywordId,StrCity,Date,Impressions,CategoryGERId
/Sport & Fitness/Sport/Fußball,fitness delmenhorst preise,138143720174,Schwaigern,20170323,1,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Balingen,20170119,1,2952
/Sport & Fitness/Sport/Fußball,bodybuilding,3114779369,Ludwigsburg,20170423,1,2952
/Sport & Fitness/Sport/Fußball,fussball 2016,89151299317,Bad Friedrichshall,20171017,2,2952
/Sport & Fitness/Sport/Fußball,fussball training,30374983,Villingen-Schwenningen,20170123,1,2952
/Sport & Fitness/Sport/Fußball,fanartikel basketball,2499013221,Ostfildern,20171203,1,2952
/Sport & Fitness/Sport/Fußball,fanartikel basketball,2499013221,Mannheim,20171208,1,2952
/Sport & Fitness/Sport/Fußball,fitness ludwigshafen,1369994286,Stuttgart,20171031,1,2952
/Sport & Fitness/Sport/Fußball,fitness musik,1283626585,Stuttgart,20170104,1,2952
/Sport & Fitness/Sport/Fußball,fitness park offenburg,25788832300,Stutensee,20170220,1,2952
/Sport & Fitness/Sport/Fußball,bodybuilding,10516730,Stuttgart,20170416,1,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Filderstadt,20170503,1,2952
/Sport & Fitness/Sport/Fußball,fussball training,30374983,Karlsruhe,20170127,1,2952
/Sport & Fitness/Sport/Fußball,hansson sport trainhard hantelbank,301862669180,Herrenberg,20171202,1,2952
/Sport & Fitness/Sport/Fußball,fussball live sport,15439623616,Reutlingen,20170306,1,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Munich,20170503,1,2952
/Sport & Fitness/Sport/Fußball,alpas sport,3230460773,Heidelberg,20170723,1,2952
/Sport & Fitness/Sport/Fußball,fitness software,15365810,Friedrichshafen,20171212,1,2952
/Sport & Fitness/Sport/Fußball,fitness express clubs,182507558671,Friedrichshafen,20171213,1,2952
/Sport & Fitness/Sport/Fußball,decathlon fitness,303661007433,Bad Wurzach,20171104,1,2952
/Sport & Fitness/Sport/Fußball,handball spielfeld,41975389895,Fellbach,20171120,1,2952
/Sport & Fitness/Sport/Fußball,fitness delmenhorst preise,138143720174,Singen,20170827,1,2952
/Sport & Fitness/Sport/Fußball,fussball turnierplan,50328191385,Offenburg,20171127,1,2952
/Sport & Fitness/Sport/Fußball,frisbee sport,297769804742,Leutkirch im Allgau,20171101,1,2952
/Sport & Fitness/Sport/Fußball,aixtra sport online shop,85099604661,Aalen,20171125,1,2952
/Sport & Fitness/Sport/Fußball,fussball spielball test,49385479910,Ettlingen,20170917,1,2952
/Sport & Fitness/Sport/Fußball,geldern fitness,98856556642,Achern,20170120,1,2952
/Sport & Fitness/Sport/Fußball,fitness walldorf,11832346358,Stuttgart,20171202,1,2952
/Sport & Fitness/Sport/Fußball,fussball equipment,896569909,Straubenhardt,20171109,1,2952
/Sport & Fitness/Sport/Fußball,arena sport live streaming,67717319307,Heilbronn,20170501,1,2952
/Sport & Fitness/Sport/Fußball,fitness musik,1283626585,Wiesloch,20170104,1,2952
/Sport & Fitness/Sport/Fußball,crivit sports,17040186558,Bruchsal,20170930,1,2952
/Sport & Fitness/Sport/Fußball,fussball turnierplaner,358318955452,Schopfheim,20171021,1,2952
/Sport & Fitness/Sport/Fußball,fitness park offenburg,1449032230,Offenburg,20170507,1,2952
/Sport & Fitness/Sport/Fußball,konditionstraining fussball,300673462485,Heidelberg,20171124,3,2952
/Sport & Fitness/Sport/Fußball,fitness duisburg,478989806,Ilsfeld,20171120,1,2952
/Sport & Fitness/Sport/Fußball,bodybuilding,24243221,Heidelberg,20170119,1,2952
/Sport & Fitness/Sport/Fußball,frisbee sport,297627753353,Heilbronn,20171121,2,2952
/Kunst und Unterhaltung/Filme und Filme/Film Noir,hirschbrunft video,64339211514,Muhldorf,20170224,1,180
/Sport & Fitness/Sport/Fußball,fussball turnierplaner,358318955452,Ludwigsburg,20171027,1,2952
